trade_id;ticker;share_amount;entry_date;entry_price;initial_stop_loss;adr_percent;market_cap;portfolio_risk;sell_shares_price_1;sell_shares_amount_1;sell_shares_date_1;sell_shares_price_2;sell_shares_amount_2;sell_shares_date_2;sell_shares_price_3;sell_shares_amount_3;sell_shares_date_3;trello_trade_review;setup_rating;setup_chart;sell_datetime
58;BBW;316;2021-06-11;19.1100;17.4600;0.1406;0.2940;0.0050;;;;;;;17.1210;316.0;2021-06-15;;;;2021-06-15 09:34:01
59;TGLS;434;2021-06-11;21.2500;20.5900;0.0887;1.0830;0.0025;;;;;;;20.3100;434.0;2021-06-14;;;;2021-06-14 12:15:27
60;PIRS;2115;2021-06-17;3.7880;3.5300;0.1507;0.2400;0.0050;;;;;;;3.5210;2115.0;2021-06-18;;;;2021-06-18 12:37:55
61;OEG;1760;2021-06-14;5.2180;4.9000;0.1340;0.2670;0.0050;;;;;;;4.8900;1760.0;2021-06-15;;;;2021-06-15 10:01:31
62;FUBO;600;2021-06-18;30.0740;29.1700;0.0886;4.1100;0.0050;;;;;;;29.1740;600.0;2021-06-18;;;;2021-06-18 10:14:58
63;OII;674;2021-06-16;17.3100;16.5000;0.0579;1.6960;0.0050;;;;;;;16.5000;674.0;2021-06-17;;;;2021-06-17 10:13:15
64;EH;608;2021-06-18;40.0800;39.3300;0.1286;2.0420;0.0050;;;;;;;39.3100;608.0;2021-06-18;;;;2021-06-18 09:52:54
65;AMRS;1260;2021-06-17;16.2200;15.7100;0.0602;4.7530;0.0050;;;;;;;15.7500;1260.0;2021-06-17;;;;2021-06-17 12:24:00
66;CLNE;829;2021-06-18;12.1400;11.5000;0.1073;2.6240;0.0050;;;;;;;11.4800;829.0;2021-06-18;;;;2021-06-18 15:12:40
67;EOSE;846;2021-06-17;20.3300;19.8900;0.1024;1.0330;0.0025;;;;;;;19.8800;846.0;2021-06-17;;;;2021-06-17 11:57:02
68;AMC;254;2021-06-14;53.3400;51.5200;0.2720;29.2600;0.0025;;;;60.0600;76.0;2021-06-21;51.3900;178.0;2021-06-22;;;;2021-06-22 09:48:47
69;BLDE;992;2021-06-16;11.4300;10.6600;0.0734;0.7760;0.0050;;;;;;;10.8730;992.0;2021-06-22;;;;2021-06-22 10:07:13
70;LEDS;295;2021-06-18;19.3800;17.6300;0.2916;0.0780;0.0050;;;;;;;17.5100;295.0;2021-06-22;;;;2021-06-22 10:41:54
71;BFLY;770;2021-06-21;14.5400;13.8600;0.0675;2.4320;0.0050;;;;;;;13.8600;770.0;2021-06-22;;;;2021-06-22 09:51:43
72;BYND;129;2021-06-22;151.0700;146.8000;0.0584;9.3220;0.0050;;;;;;;146.7920;129.0;2021-06-22;;;;2021-06-22 09:51:38
73;SFIX;361;2021-06-22;61.8300;61.2100;0.0568;6.7380;0.0025;;;;;;;60.5500;361.0;2021-06-23;;;;2021-06-23 09:31:03
74;SPCE;245;2021-06-22;37.6980;35.6200;0.0925;9.4890;0.0050;46.3700;81.0;2021-06-25;55.8020;54.0;2021-06-25;43.2700;110.0;2021-07-01;;;;2021-07-01 15:55:41
75;DDD;402;2021-06-22;30.9650;29.6000;0.0852;3.8000;0.0050;;;;35.2900;201.0;2021-06-22;34.3590;201.0;2021-07-07;;;;2021-07-07 14:26:55
76;VFF;2153;2021-06-23;10.5490;10.3000;0.0523;0.8530;0.0050;;;;;;;10.2880;2153.0;2021-06-23;;;;2021-06-23 12:39:28
77;EH;430;2021-06-23;41.2930;39.7000;0.1220;2.2140;0.0050;;;;;;;39.4200;430.0;2021-06-23;;;;2021-06-23 12:27:19
78;FUV;1033;2021-06-23;14.5400;14.0400;0.1328;0.5460;0.0050;;;;16.9000;300.0;2021-06-28;15.5600;733.0;2021-07-01;;;;2021-07-01 15:58:57
79;WKHS;1260;2021-06-23;14.9250;14.4000;0.1355;1.9610;0.0050;;;;16.9600;420.0;2021-06-28;15.6200;840.0;2021-07-01;;;;2021-07-01 15:59:17
80;FSR;1476;2021-06-23;18.2300;17.8000;0.0747;5.6930;0.0050;;;;;;;18.4130;1476.0;2021-07-01;;;;2021-07-01 15:57:21
81;BEEM;623;2021-06-23;36.9200;35.9600;0.0888;0.3500;0.0050;;;;;;;35.9200;623.0;2021-07-01;;;;2021-07-01 11:21:24
82;CDNA;69;2021-06-07;85.0000;81.3400;0.0658;4.5490;0.0025;;;;;;;94.6600;69.0;2021-06-24;;;;2021-06-24 10:06:57
83;EH;150;2021-06-24;41.7420;40.3100;0.1169;2.1450;0.0025;;;;;;;40.2530;150.0;2021-06-24;;;;2021-06-24 11:05:20
84;ATOM;972;2021-06-24;26.2100;25.4200;0.0974;0.5730;0.0050;;;;;;;25.2600;972.0;2021-06-24;;;;2021-06-24 13:55:25
85;ATOS;1706;2021-06-17;4.9300;4.6200;0.1549;0.6210;0.0050;5.8350;568.0;2021-06-21;8.8100;380.0;2021-06-25;6.3000;758.0;2021-06-30;;;;2021-06-30 15:57:53
86;DNMR;1814;2021-06-24;24.1400;23.9000;0.0886;2.1370;0.0050;;;;24.5320;695.0;2021-06-25;23.8500;1119.0;2021-06-30;;;;2021-06-30 09:34:51
87;MOXC;315;2021-07-06;24.1830;22.3000;0.2325;0.4570;0.0050;;;;;;;22.2200;315.0;2021-07-06;;;;2021-07-06 14:28:46
88;GLBE;315;2021-07-12;57.5990;55.7300;0.0978;8.4730;0.0050;;;;65.5100;150.0;2021-07-14;55.5500;165.0;2021-07-14;;;;2021-07-14 15:29:00
89;TELL;2696;2021-07-12;4.4970;4.2700;0.0821;1.8190;0.0050;;;;;;;4.2600;2696.0;2021-07-13;;;;2021-07-13 09:50:07
90;CELH;183;2021-07-13;73.9500;70.8400;0.0538;5.3440;0.0050;;;;;;;70.7500;183.0;2021-07-14;;;;2021-07-14 09:41:00
91;OCX;6559;2021-07-13;5.8850;5.8000;0.0716;0.5240;0.0050;;;;;;;5.7600;6559.0;2021-07-13;;;;2021-07-13 13:07:20
92;GLBE;108;2021-07-14;57.6900;55.3100;0.1025;8.5280;0.0025;;;;71.3800;54.0;2021-07-30;64.6800;54.0;2021-08-09;;;;2021-08-09 21:39:00
93;SPRT;2205;2021-07-20;4.6970;4.5500;0.1310;0.1090;0.0025;;;;;;;4.8500;2205.0;2021-07-20;;;;2021-07-20 09:41:55
94;LI;980;2021-07-21;31.7490;31.3800;0.0662;30.2240;0.0025;;;;32.3000;490.0;2021-07-21;31.3100;490.0;2021-07-23;;;;2021-07-23 09:30:00
95;NEGG;395;2021-07-21;30.5520;29.1000;0.3381;10.0000;0.0050;;;;;;;29.0500;395.0;2021-07-21;;;;2021-07-21 09:42:49
96;ASAN;176;2021-07-22;72.4300;70.4600;0.0570;13.3030;0.0025;;;;;;;70.3800;176.0;2021-07-27;;;;2021-07-27 09:58:38
97;MDGS;2405;2021-07-23;2.2900;2.1300;0.0701;0.0550;0.0025;;;;;;;2.2460;2405.0;2021-07-23;;;;2021-07-23 10:35:02
98;SCKT;472;2021-07-23;10.3570;9.8600;0.0955;0.0420;0.0025;;;;;;;9.8800;472.0;2021-07-23;;;;2021-07-23 10:12:53
